raw,cluster
Accord d'entreprise ou PV de consultation du CSE concernant l'aménagement du temps de travail (travail exceptionnel du dimanche ou en soirée).,335
Accusé de réception (AR) d'un dossier de demande administrative (ex: demande de modification d'une ICPE ou permis de construire) daté de plus de deux mois sans réponse de l'administration.,319
Accusé de réception daté d'un dossier de demande administrative (ex: modification d'installation ICPE) accompagné de la preuve d'absence de réponse de l'administration sous 2 mois.,353
Accusé de réception de dépôt de dossier (préfecture ou administration) mentionnant la date de réception et les délais de réponse pour accord tacite.,311
"Accusé de réception de dépôt de dossier ICPE (ex: rubrique 2560 pour le travail des métaux) généré par le téléservice, attestant du délai d'instruction pour application du principe 'Silence vaut accord'.",255
Accusé de réception de dépôt de dossier ICPE ou demande d'autorisation administrative avec date de réception faisant foi pour le calcul des délais de 'Silence vaut accord'.,272
Accusé de réception de la télédéclaration (récépissé DMS) téléchargé sur le portail L'OAP (Observatoire des Appareils à Pression).,252
Accusé de réception de la télédéclaration annuelle GEREP (portail I-REP) et récapitulatif des tonnages de déchets expédiés.,366
Accusé de réception de la télédéclaration annuelle GEREP (émissions et déchets),312
Accusé de réception de la télédéclaration annuelle des émissions et des déchets (GEREP) ou Registre de suivi des déchets dangereux et non-dangereux à jour.,377
Accusé de réception de la télédéclaration annuelle des émissions et des déchets sur le portail GEREP (IREP) pour l'année N-1.,24
Accusé de réception de la télédéclaration annuelle des émissions et des déchets sur le portail GEREP (ou GIDAF pour les mesures d'autosurveillance).,24
Accusé de réception du dépôt de la version dématérialisée (VNC - Version Non Confidentielle) du dossier ICPE transmis à la DREAL pour publication.,263
Accusé de réception électronique (ARE) ou Accusé d'enregistrement électronique (AEE) suite à une télédéclaration ICPE ou un dossier d'urbanisme.,259
Acte de propriété ou notification d'arrêté de déclaration d'utilité publique (DUP) en cas d'extension/projet public.,1
Affichage en magasin/point de retrait des modalités de reprise (1 pour 1 ou 1 pour 0) et registre de suivi des DEEE repris,205
Arrêté préfectoral complémentaire de remise en état ou Mémoire de réhabilitation validé par l'inspection des installations classées,299
Arrêté préfectoral d'autorisation (ou de prescriptions complémentaires) au titre de la Loi sur l'Eau (IOTA) incluant l'étude d'incidence environnementale.,373
Arrêté préfectoral d'autorisation au titre de la Loi sur l'eau (IOTA) ou récépissé de dépôt de dossier d'autorisation unique.,296
Arrêté préfectoral d'autorisation d'exploiter (ICPE) en vigueur et certificat de non-recours ou registre de veille juridique.,275
Arrêté préfectoral d'autorisation d'exploiter (incluant les prescriptions spéciales et le dossier de demande d'autorisation unique),191
Arrêté préfectoral d'autorisation ou d'enregistrement (ICPE) en vigueur sur le site,200
"Arrêté préfectoral d'autorisation, d'enregistrement ou Récépissé de déclaration ICPE à jour",342
Attestation annuelle d'éligibilité au taux réduit (TICFE/TICGN) transmise au fournisseur d'énergie et calcul de l'intensité énergétique de l'entreprise.,271
Attestation annuelle de collecte et de valorisation des déchets (Attestation 5 flux) remise par le prestataire de déchets.,256
Attestation d'adhésion à un éco-organisme en vigueur et Identifiant Unique (IDU) généré par l'ADEME (portail SYDEREP),18
Attestation d'adhésion à un éco-organisme et Numéro d'identifiant unique (IDU) généré par l'ADEME (SYDEREP),18
Attestation d'agrément CNAPS du prestataire de sécurité et copie des cartes professionnelles à jour des agents de gardiennage.,276
Attestation d'application du dispositif de suramortissement pour l'investissement productif (achat de machines de découpe laser ou presses hydrauliques) ou justificatif de télédéclaration de la TGAP.,237
Attestation d'assurance multirisque professionnelle à jour incluant les clauses d'extension de garantie 'Catastrophes Naturelles' et preuve de mise à jour du Plan de Continuité d'Activité (PCA).,210
Attestation d'exonération ou de taux réduit (Cerfa n°13990) dûment visée par le bureau des douanes et registre de suivi des consommations de houille.,264
Attestation d'exonération ou de taux réduit de TICGN (formulaire CERFA) visée par les douanes et dossier technique justifiant l'usage (ex: procédé de traitement thermique ou métallurgique).,198
Attestation d'information sur les Secteurs d'Information sur les Sols (SIS) annexée au contrat de bail ou à l'acte de vente.,375
Attestation de bureau d'études certifié (LNE ou équivalent) garantissant la prise en compte des mesures de gestion de la pollution (Attestation ATTES-ALUR) ou État des Risques et Pollutions (ERP) à jour.,285
Attestation de bureau d'études certifié (type ATTES-MÉMO ou ATTES-TRAVAUX) ou Rapport de diagnostic de pollution des sols (IEM/EQRS),245
Attestation de capacité du prestataire externe (en cours de validité) pour la manipulation des fluides frigorigènes.,217
"Attestation de conformité REACH (Certificat SVHC) fournie par le fournisseur de matières premières (ex: acier, inox, laiton) confirmant l'absence ou la présence de substances à plus de 0,1% m/m.",331
"Attestation de conformité REACH (SVHC) du fournisseur de métal ou déclaration de présence de plomb (Pb) si > 0,1%",288
"Attestation de conformité REACH (déclaration de présence/absence de SVHC > 0,1%) fournie par les fournisseurs de matière première (acier, aluminium, laiton).",224
"Attestation de conformité REACH ou Déclaration du fournisseur de métal certifiant l'absence ou la présence de substances SVHC au-delà de 0,1% (ex: Plomb dans certains alliages)",254
"Attestation de conformité REACH par article (Certificat de présence de SVHC < 0,1% pour chaque composant élémentaire du produit fini)",269
"Attestation de conformité REACH/POP des fournisseurs d'huiles de coupe ou de lubrifiants, garantissant l'absence de paraffines chlorées à chaîne courte (SCCP).",337
Attestation de conformité aux Obligations Légales de Débroussaillement (OLD) ou mise à jour du Plan d'Opération Interne (POI) intégrant le risque de lisière,213
Attestation de conformité du fournisseur (ou FDS section 15) certifiant la présence du fabricant de la substance active sur la liste de l'ECHA (Article 95).,0
Attestation de conformité du fournisseur d'emballages ou fiche technique précisant l'épaisseur des sacs (doit être > 50 µm pour les sacs réutilisables).,303
Attestation de conformité du fournisseur ou Fiche de Données de Sécurité (FDS - Section 15) des fluides de coupe/lubrifiants certifiant que le fournisseur de la substance active est bien inscrit sur la liste de l'ECHA (Article 95).,0
Attestation de contrôle d'étanchéité annuel (Cerfa 15497) des équipements climatiques ou groupes froids,329
Attestation de contrôle technique (RVRAT) certifiant le respect des règles Eurocode 8 ou notice de sécurité parasismique du dossier de construction.,215
Attestation de localisation du site hors zone de protection (AAC) ou Diagnostic de vulnérabilité des rejets d'huiles et solvants avec plan de rétention aux normes.,221
Attestation de mise en sécurité du site (ATTES-SÉCUR) délivrée par un bureau d'études certifié LNE.,324
Attestation de mise en sécurité du site et mémoire de cessation d'activité (Art. L. 512-17),352
Attestation de mise en sécurité du site ou Contrat de Tiers Demandeur validé par le Préfet,257
Attestation de mise en sécurité et mémoire de réhabilitation (certifiés par un bureau d'études tiers),251
Attestation de paramétrage des horloges astronomiques ou compte-rendu de vérification des dispositifs de coupure automatique,341
Attestation de prise en compte de la réglementation thermique (RT 2012) à l'achèvement des travaux.,11
Attestation de prise en compte de la réglementation thermique à l'achèvement des travaux (générée par un contrôleur technique ou un architecte).,11
"Attestation de prise en compte des exigences de performance énergétique et environnementale (RE2020) à l'achèvement des travaux, visée par un contrôleur technique ou un architecte.",19
Attestation de prise en compte des exigences de performance énergétique et environnementale (RE2020) à l'achèvement des travaux.,19
Attestation de remplacement des DAAF défectueux ou inventaire du parc incendie certifiant l'absence du modèle DAF-L-VIG,347
Attestation de validation de la démarche qualité 'étanchéité à l'air' délivrée par le Ministère en charge de la construction.,279
Attestations AIPR (Autorisation d'Intervention à Proximité des Réseaux) pour le personnel compétent et justificatifs de consultation du Guichet Unique (DT/DICT).,231
"Attestations de suivi d'examen médical (ou avis d'aptitude) délivrées par la Médecine du Travail pour les salariés exposés (bruit, coupure, produits chimiques).",195
Attestations de suivi d'information et de prévention (suivi médical des salariés à jour),308
Attestations de suivi médical des salariés (Médecine du Travail) et fiches d'exposition aux risques professionnels,238
Avis d'imposition CFE ou Taxe Foncière incluant la taxe GEMAPI (Gestion des Milieux Aquatiques et Prévention des Inondations),267
Avis d'imposition de la CFE (Cotisation Foncière des Entreprises) identifiant la Métropole de Lyon comme collectivité bénéficiaire.,355
Avis d'imposition de la Contribution Foncière des Entreprises (CFE) ou extrait de règlement de voirie de la Métropole de Lyon,246
Avis de mise à disposition du dossier de consultation publique et récépissé de dépôt en préfecture (en cas d'extension ou de modification notable du site).,266
Avis de redevance de l'Agence de l'Eau (justificatif de paiement des taxes liées aux prélèvements ou aux rejets polluants),349
Bilan de la mise à disposition du public et synthèse des observations (registre d'enquête publique) lors d'une demande de modification d'autorisation d'exploiter.,228
Bordereau de Suivi de Déchets (BSD) mentionnant la teneur en POP ou certificat de destruction thermique pour les huiles de coupe et boues d'usinage.,351
Bordereau de Suivi de Déchets (BSD) via la plateforme Trackdéchets pour les DEEE dangereux ou certificat d'enlèvement fourni par un éco-organisme (ex: Ecosystem).,270
Bordereau de Suivi des Déchets Dangereux (BSDD) et rapports d'analyses chimiques (teneur en PCB/HAP) des huiles de coupe ou boues d'usinage,232
Bordereau de Suivi des Déchets Dangereux (BSDD) signé ou attestation annuelle de collecte délivrée par un éco-organisme (ex: Screlec ou Corepile).,305
Bordereaux de Suivi de Déchets (BSD) complets et signés par l'exutoire final + Registre chronologique des déchets sortants à jour.,291
Bordereaux de Suivi de Déchets (BSD) et Registre de suivi des déchets sortants,7
"Bordereaux de Suivi de Déchets (BSD) et registres de sortie de déchets (métaux, huiles de coupe, DIB) à jour.",304
Bulletins de paie mentionnant la ligne 'Indemnité kilométrique vélo' et attestations sur l'honneur des salariés cyclistes.,243
"Carnet métrologique à jour des instruments de mesure (pont-bascule, balances de précision) avec vignettes de vérification périodique (vignettes vertes).",339
Certificat d'examen de type ou Déclaration UE de conformité du compteur d'eau (mentionnant les rapports de débit Q3/Q1),194
Certificat d'urbanisme ou Arrêté de permis de construire (justifiant la conformité au Plan Local d'Urbanisme - PLU),340
Certificat d'urbanisme ou Permis de construire (vérification de la conformité de l'implantation de l'usine vis-à-vis du PLU/Zone industrielle),280
Certificat d'urbanisme ou Permis de construire validé en conformité avec le zonage du PLU (Plan Local d'Urbanisme),338
Certificat de conformité REACH des fournisseurs (attestant le respect des seuils HAP pour les composants en caoutchouc/plastique des outils et les huiles de coupe).,301
Certificat de conformité REACH des gants de protection en cuir (teneur en Chrome VI < 3 mg/kg),199
"Certificat de conformité REACH du fournisseur de matières premières (bobines d'acier/alliages) ou des prestataires de traitement de surface garantissant un taux de cadmium inférieur à 0,01% en poids.",134
Certificat de conformité REACH ou Fiche de Données de Sécurité (FDS) du fournisseur de polymères/revêtements,297
Certificat de conformité matière (CoC) ou Fiche de Données de Sécurité (FDS) fournisseur mentionnant la teneur en plomb inférieure aux seuils (ex: pour les articles en PVC ou les alliages métalliques selon les exemptions).,298
Certificat de conformité produit (Marquage CE) ou Conditions Générales de Vente (CGV) à jour,2
Certificat de conformité produit ou Fiche de données de sécurité (FDS) à jour des mentions légales de sécurité,201
Certificat de contrôle d'étanchéité annuel (CERFA 15497) pour les groupes froids des machines de découpe ou la climatisation des locaux TGBT/Serveurs.,292
Certificats de conformité RoHS (Restriction of Hazardous Substances) fournis par les fournisseurs de métaux et alliages.,268
Certificats individuels « Certibiocide » en cours de validité pour les opérateurs de maintenance ou agents d'entretien manipulant des produits de types 14 (rodenticides) ou 18 (insecticides).,261
"Check-list de contrôle des documents de bord par véhicule (Carte grise, justificatif d'assurance/FVA, Permis de conduire des chauffeurs)",307
"Compte-rendu de veille réglementaire identifiant les mesures de simplification administrative applicables aux procédures du site (ex: téléprocédures simplifiées, formulaires CERFA à jour).",229
Conditions Générales de Vente (CGV) et factures mentionnant les délais de paiement légaux et les pénalités de retard.,277
Conditions Générales de Vente (CGV) à jour et Certificats de conformité des produits livrés,371
Conditions Générales de Vente (CGV) à jour et fiches techniques de conformité produit.,2
Conditions Générales de Vente (CGV) à jour incluant les clauses sur la garantie légale de conformité et les délais de rétractation (si vente directe).,300
Conditions Générales de Vente (CGV) à jour intégrant les clauses de responsabilité et garanties de conformité produits.,336
"Contrat d'adhésion à un éco-organisme agréé (ex: Ecosystem, Ecologic) et Registre Chronologique des Déchets (incluant les BSDD pour les DEEE dangereux).",230
Contrat de fourniture de gaz avec clause de consignation ou attestation de reprise du fournisseur pour les bouteilles vides.,235
Contrat de revente des chutes de métaux (matières premières secondaires) spécifiant une utilisation future certaine sans transformation préalable lourde.,379
Convention de don formalisée avec une association caritative ou rapport de diagnostic de gaspillage alimentaire du restaurant d'entreprise.,118
"Convention de déversement des eaux usées industrielles ou contrat de collecte des déchets à jour, validé par l'EPCI (Établissement Public de Coopération Intercommunale) compétent.",214
Convention de déversement signée avec la collectivité ou facture d'eau mentionnant la part 'Redevance assainissement collectif'.,247
Convention de financement signée avec Bpifrance (ou organisme mandaté) et justificatifs d'investissements matériels,197
Convention de raccordement au réseau public d'eaux pluviales ou Règlement de service de la collectivité/EPCI.,260
Copie de la demande de remboursement (Cerfa n°15414) et attestation de réception de la Direction Générale des Douanes et Droits Indirects (DGDDI).,287
Copie de la déclaration annuelle TGAP (Formulaire n° 2020-TGAP) et justificatif de virement bancaire associé.,306
Copie de la déclaration annuelle de TGAP télétransmise via le portail des douanes et justificatif de paiement associé.,302
Copie de la licence d'importation/exportation extraite du portail européen 'ODS Licensing System' et registre de suivi des halons.,211
Copie de la proposition de transaction pénale signée par le Préfet et homologuée par le Procureur (en cas d'infraction constatée).,293
Copie du Programme Local de Prévention (PLPDMA) de la collectivité de rattachement et justificatifs de tri à la source des déchets de bureau.,236
Copie du certificat de projet délivré par le Préfet (document fixant le cadre juridique et le calendrier d'instruction du dossier ICPE).,133
"Copie du formulaire Cerfa n° 15516 (Attestation d'exonération ou de taux réduit de TICFE) datée et signée, accompagnée de l'accusé de réception du fournisseur d'énergie.",117
Dernier rapport d'inspection de la DREAL/DDPP et preuves de levée des non-conformités (réponses aux mises en demeure).,372
Dernier rapport de visite d'inspection de la DREAL (ou DRIEAT) mentionnant le respect des thématiques prioritaires nationales.,345
"Diagnostic de franchissabilité des ouvrages hydrauliques (barrages, seuils) ou État des lieux de la continuité écologique vis-à-vis de l'Arrêté Préfectoral de bassin.",374
Diagnostic de pollution des sols (Phase 1/2) ou Rapport de mise en sécurité du site (ADEME),150
Diagnostic de pollution des sols (Étude historique et documentaire / Phase INFOS),192
Diagnostic de vulnérabilité aux inondations du site ou Plan de Continuité d'Activité (PCA) intégrant le risque de crue,13
Diagnostic de vulnérabilité aux inondations ou Plan de Continuité d'Activité (PCA) intégrant le risque de crue,13
Diagnostic de vulnérabilité du site face aux risques naturels (ex: Inondation) et mesures de protection des stocks de matières premières.,378
Document Unique d'Évaluation des Risques (DUER) mis à jour intégrant la nouvelle liste des agents chimiques CMR et les fiches d'exposition actualisées pour les huiles de coupe.,218
Document de transport (déclaration d'expédition) mentionnant les numéros ONU et le protocole de sécurité de chargement/déchargement.,284
Document de transport ADR (Lettre de voiture) et Protocole de sécurité chargement/déchargement,106
Document de transport ADR (ou bordereau de suivi) spécifiant l'usage d'une dérogation nationale ou locale pour le transport de déchets d'huiles de coupe.,233
Dossier d'auto-évaluation technique et attestation de conformité de sortie du statut de déchet (SSD) pour les copeaux ou boues d'usinage.,327
Dossier d'autorisation d'exploiter avec récépissé de l'affichage en mairie et sur site (constat d'huissier ou certificat administratif) pour purger le délai de recours des tiers.,239
Dossier d'autorisation environnementale (ICPE) à jour ou Récépissé de déclaration dématérialisé (via le portail de simplification administrative).,220
Dossier d'enquête publique ou Arrêté de déclaration d'utilité publique (DUP) en cas d'extension ou de travaux d'infrastructure limitrophes.,1
Dossier d'enquête publique ou notification d'arrêté de déclaration d'utilité publique (DUP),1
Dossier d'enregistrement ou de déclaration ICPE (notamment pour la rubrique 2560 : travail des métaux),167
Dossier d'enregistrement ou de déclaration ICPE à jour (incluant les nouvelles dispositions sur les garanties financières ou les plans de prévention le cas échéant).,193
Dossier d'enregistrement ou de déclaration ICPE à jour mentionnant les bonnes rubriques de la nomenclature (ex: Rubrique 2560 pour le travail des métaux).,9
Dossier d'examen de conformité de l'Arrêté Préfectoral d'Autorisation (ICPE) vis-à-vis du SDAGE en vigueur (cycle 2022-2027).,168
Dossier d'exploitation de l'équipement comprenant le rapport de requalification périodique (tous les 10 ans) ou d'inspection périodique (tous les 48 mois) du réservoir d'air comprimé.,4
Dossier d'exploitation de l'équipement sous pression (ESP) incluant le certificat de conformité au CTP et les rapports d'inspection périodique.,362
Dossier d'exploitation de l'équipement sous pression (ESP) incluant le compte-rendu d'inspection périodique ou l'attestation de l'organisme habilité mentionnant la dispense de vérification intérieure.,348
Dossier d'exploitation de la cuve d'air comprimé incluant les rapports de requalification périodique (tous les 10 ans) et d'inspection périodique (tous les 48 mois) réalisés par un organisme habilité.,4
Dossier d'étude d'impact environnemental ou formulaire de demande d'examen au cas par cas (Cerfa) lors de l'extension du site.,294
Dossier d'évaluation des incidences Natura 2000 (EIN) ou Étude d'impact mise à jour,332
Dossier de 'Porter-à-connaissance' (PAC) transmis à la DREAL/Préfecture ou tableau d'auto-évaluation des modifications techniques (seuils de puissance/volume).,223
"Dossier de 'Porter-à-connaissance' transmis à la DREAL pour une modification d'installation, accompagné de la réponse de l'administration ne prescrivant pas d'enquête publique.",357
Dossier de classement ICPE actualisé (Tableau des rubriques incluant les calculs de seuils pour la rubrique 2560 - Travail des métaux),262
Dossier de classement ICPE à jour incluant le récépissé de déclaration ou l'arrêté préfectoral d'enregistrement (ex: rubrique 2560 pour le découpage métaux).,325
Dossier de classement ICPE à jour mentionnant les rubriques applicables (ex: rubrique 2560 pour le travail des métaux).,189
Dossier de conformité d'urbanisme (Permis de construire ou déclaration préalable) validé par les autorités territoriales,346
Dossier de conformité des rejets aqueux (autosurveillance) incluant les paramètres Azote et Phosphore si le site rejette en zone sensible.,330
Dossier de consultation du public avec avis de mise à disposition (obligatoire lors d'une demande d'autorisation ou de modification substantielle de l'installation ICPE).,95
Dossier de demande d'aide ou de subvention auprès de l'Agence de l'Eau (ou compte-rendu de visite de l'animateur de bassin),208
Dossier de demande de remboursement de l'accise sur l'électricité (ex-TICFE) incluant le formulaire Cerfa n°15516 et le récapitulatif des consommations annuelles.,203
Dossier de demande de réduction de TURPE et attestation de performance énergétique (ex: certificat ISO 50001 ou rapport d'audit énergétique),209
Dossier de demande de subvention ou convention d'attribution d'aide pour un projet d'efficacité énergétique (ex: installation d'un système de récupération de chaleur sur les compresseurs ou les machines de découpe).,115
Dossier de déclaration ou d'autorisation d'exploitation de gîte géothermique (si PAC sur nappe ou sonde géothermique),367
Dossier de mise à jour de l'Étude de Dangers (EDD) intégrant les critères Seveso III,185
Dossier de mise à jour de la nomenclature ICPE du site (Porter-à-connaissance) intégrant les nouvelles rubriques de la série 4000.,149
Dossier de mise à jour du DUERP ou de l'Étude de Dangers (EDD) intégrant les nouveaux seuils de classification des substances chimiques (Directives Seveso III / Règlement CLP).,83
Dossier de réexamen de l'autorisation (incluant l'évaluation de conformité aux conclusions sur les MTD - Meilleures Techniques Disponibles),111
Décision de l'Autorité Environnementale (Examen au cas par cas) ou Rapport d'étude d'impact joint au dossier de demande d'autorisation de défrichement.,139
Décision de reconnaissance du SIR (Service Inspection Reconnu) délivrée par la DREAL/DRIEAT ou certificat d'accréditation.,320
Déclaration UE de conformité des équipements (Marquage CE) et rapports de maintenance annuelle des brûleurs/chaudières.,234
Déclaration UE de conformité du matériel (marquage CE ATEX avec référence à la directive 2014/34/UE),281
Déclaration UE de conformité originale fournie par le fabricant de la machine (ou équipement ATEX),369
Déclaration annuelle TGAP (Formulaire Cerfa n°12022) et factures du centre de traitement de déchets mentionnant distinctement le montant de la taxe collectée.,250
Déclaration annuelle TGAP (formulaire cerfa n°12020) et justificatifs de paiement auprès de la Direction Générale des Douanes.,309
Déclaration annuelle TGAP (via téléservice Douane) et justificatifs de paiement associés aux Bordereaux de Suivi de Déchets (BSD).,242
Déclaration annuelle de TGAP (Cerfa n°12052) et justificatif de paiement à la DGDDI.,326
Déclaration annuelle de TGAP (formulaire CERFA ou télédéclaration Douane) et Bordereaux de Suivi de Déchets Dangereux (BSDD) pour les huiles de coupe et solvants.,358
Déclaration annuelle de la TGAP (Taxe Générale sur les Activités Polluantes) et justificatifs de paiement associés.,368
Déclaration annuelle de la TGAP (Taxe Générale sur les Activités Polluantes) ou justificatif de paiement de la TICGN (Taxe intérieure de consommation sur le gaz naturel).,376
Déclaration annuelle de la TGAP (Taxe Générale sur les Activités Polluantes) ou justificatifs de déduction fiscale pour investissement productif (sur-amortissement industriel).,12
"Déclaration annuelle de la TGAP (Taxe Générale sur les Activités Polluantes) transmise aux services fiscaux/douaniers, cohérente avec les rubriques ICPE du site.",290
Déclaration annuelle de la Taxe Générale sur les Activités Polluantes (TGAP) ou justificatif de paiement de la CVAE,314
"Déclaration annuelle de mise sur le marché des emballages (CITEO/Adelphe) et registre de classification des contenants (palettes, films, cerclages).",364
Déclaration annuelle de mise sur le marché des emballages (justificatif d'éco-contribution) et registre de suivi des déchets d'emballages.,328
Déclaration annuelle de redevance pollution transmise à l'Agence de l'Eau et rapports d'analyses de recherche des substances dangereuses (campagne RSDE).,317
Déclaration de Performance Extra-Financière (DPEF) intégrée au rapport de gestion annuel.,265
"Déclaration de conformité REACH (SVHC) du fournisseur de matières premières ou Fiche de Données de Sécurité (FDS) à jour mentionnant l'absence ou la présence de substances candidates à plus de 0,1 % p/p.",222
"Déclaration de conformité REACH (ou attestation d'absence de SVHC > 0,1% en masse) fournie par le fournisseur de métaux ou d'alliages.",204
"Déclaration de conformité REACH du fournisseur (ou FDS à jour) attestant de la présence ou de l'absence des 4 nouvelles substances > 0,1% masse/masse dans les huiles de coupe ou les alliages.",206
"Déclaration de conformité REACH du fournisseur de métal (attestant l'absence de SVHC > 0,1% ou précisant la substance concernée comme le Plomb).",363
Déclaration de la TGAP (Taxe Générale sur les Activités Polluantes) ou justificatifs de déduction fiscale pour l'achat de machines de découpe (dispositif de suramortissement).,12
Déclarations de conformité REACH (Attestations SVHC) des fournisseurs d'alliages et fiches de données de sécurité (FDS) à jour.,253
"Déclarations de conformité REACH des fournisseurs de métaux et alliages (spécifiant l'absence de SVHC > 0,1% par composant individuel)",131
"Déclarations de conformité RoHS des fournisseurs de matières premières (bobines d'acier, alliages) et rapports d'analyse de laboratoire sur les traitements de surface.",187
Extrait du Géoportail de l'urbanisme (GPU) listant les Servitudes d'Utilité Publique (SUP) applicables à la parcelle de l'usine.,101
Facture d'eau détaillée ou convention d'abonnement (vérification de la structure tarifaire appliquée par la régie ou le concessionnaire),212
Factures d'achat ou de location de la flotte de vélos et Cerfa n°15504 (formulaire 2069-FA-SD) de réduction d'impôt,295
"Factures d'énergie (Gaz, Électricité, Fioul) avec détail des taxes acquittées (TICPE, TICGN, CSPE) ou attestation d'exonération si applicable au procédé industriel.",66
Factures d'énergie (Gaz/Électricité) mentionnant l'application des taux TICGN/TICPE ou formulaires CERFA de demande de remboursement/exonération (ex: usage métallurgique).,289
"Factures d'énergie (gaz, fioul ou électricité) mentionnant les taux de TICPE/TICGN appliqués ou dossier de demande de remboursement partiel (CERFA).",227
Factures d'énergie (électricité/gaz) avec détail des taxes ou formulaires Cerfa d'exonération/taux réduits (TICPE/TICGN) déposés auprès des douanes.,104
Fiche d'intervention (CERFA 15497) avec attestation de contrôle d'étanchéité périodique réalisée par un opérateur détenteur d'une attestation de capacité.,145
Fiche d'intervention (CERFA n° 15497) signée par un opérateur attesté pour le contrôle d'étanchéité des climatisations ou groupes froids de découpe.,122
Fiche d'intervention Cerfa n°15497 (suivi des fluides) et attestation de capacité du prestataire intervenant.,116
"Fiche de Données de Sécurité (FDS) actualisée des fluides de coupe ou dégraissants contenant des biocides, incluant les nouvelles mentions d'autorisation.",110
Fiche de Données de Sécurité (FDS) de l'insecticide utilisé sur site et contrat de prestation de lutte contre les nuisibles mentionnant les produits utilisés.,127
"Fiche de Données de Sécurité (FDS) de l'insecticide utilisé, vérifiant la présence de la transfluthrine et sa conformité aux conditions d'approbation.",151
"Fiche de Données de Sécurité (FDS) des revêtements ou peintures de protection utilisés, vérifiant la conformité de la substance active Tralopyril.",282
Fiche de Données de Sécurité (FDS) du fluide d'usinage ou du biocide de traitement des circuits de refroidissement (PT11) vérifiant la conformité de la substance PHMB.,343
